cnit           ; lib_mrq_doss             ; lib_mod_doss             ; energ; hybride; typ_boite_nb_rapp; puiss_admin; puiss_max; masse_ordma_min; masse_ordma_max; conso_mixte; co2_mixte
M10MCDVPGY4X996; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.8;     135.0
M10MCDVPGY4Y936; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.3;     122.0
M10MCDVPGY4Z937; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.1;     118.0
M10MCDVPHA3H458; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 7              ;           8;     115.0;            1395;            1395;         5.0;     116.0
M10MCDVPHA3K461; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 7              ;           8;     115.0;            1395;            1395;         5.0;     116.0
M10MCDVPHA3P465; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.5;     127.0
M10MCDVPHA3P466; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.6;     131.0
M10MCDVPHA3R467; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.4;     126.0
M10MCDVPHA3R468; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.5;     127.0
M10MCDVPHA3S469; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.6;     131.0
M10MCDVPKL30524; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.1;     118.0
M10MCDVPKL30560; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.6;     131.0
M10MCDVPKL30585; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.5;     127.0
M10MCDVPKL31525; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.3;     122.0
M10MCDVPKL31561; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.5;     127.0
M10MCDVPKL31586; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.6;     131.0
